レースID(新),レースID(新/馬番無),日付S,馬名,性別,年齢,枠番,着順,騎手,多頭出し,所属,調教師,人気,間隔,前走場所,前走レース名,前クラス名,前走着順,レース名
RX201502080802041103,RX2015020808020411,2015/2/8,ルージュバック,牝,3,3,1,戸崎圭太,,(美),大竹正博,1,13,東京,百日草特別,500万,1,きさらぎ賞
RX201502080802041105,RX2015020808020411,2015/2/8,ポルトドートウィユ,牡,3,5,2,武豊,,(栗),高野友和,2,9,阪神,シクラメン賞,500万,1,きさらぎ賞
RX201502080802041104,RX2015020808020411,2015/2/8,アッシュゴールド,牡,3,4,3,池添謙一,,(栗),池江泰寿,3,7,阪神,フューチュリ,Ｇ１,8,きさらぎ賞
RX201502080802041108,RX2015020808020411,2015/2/8,グリュイエール,牡,3,8,4,シュタル,,(栗),藤原英昭,6,5,京都,福寿草特別,500万,5,きさらぎ賞
RX201502080802041101,RX2015020808020411,2015/2/8,ムーンクレスト,牡,3,1,5,太宰啓介,,(栗),本田優,7,2,中京,なずな賞,500万,3,きさらぎ賞
RX201502080802041102,RX2015020808020411,2015/2/8,ネオスターダム,牡,3,2,6,浜中俊,,(栗),石坂正,5,10,京都,未勝利*,未勝利,1,きさらぎ賞
RX201502080802041106,RX2015020808020411,2015/2/8,レガッタ,牡,3,6,7,四位洋文,,(栗),昆貢,4,12,京都,新馬,新馬,1,きさらぎ賞
RX201502080802041107,RX2015020808020411,2015/2/8,エメラルヒマワリ,牝,3,7,8,幸英明,,(栗),服部利之,8,2,京都,若駒Ｓ,ｵｰﾌﾟﾝ,7,きさらぎ賞
